ISBN13;Titel;Språk;Pris;Utgivningsdatum;FörfattareID;FormID;AntalSidor;Genre
9780982272527;Raven;Engelska;211;April 1st 2010;1;4;316;'[''Romance'', ''Sports'', ''Sports Romance'', ''Contemporary Romance'', ''Contemporary'', ''Erotica'', ''Adult'', ''Baseball'', ''Erotic Romance'', ''Fiction'']'
9780486425177;The Rise of David Levinsky;Engelska;111;December 9th 2002;2;1;384;'[''Mystery'', ''Young Adult'', ''Realistic Fiction'', ''Contemporary'', ''Thriller'', ''Fiction'', ''Suspense'', ''Crime'', ''Mystery Thriller'', ''Teen'']'
9780283070273;Stand and Deliver: The Autobiography;Engelska;305;September 15th 2006;3;2;336;'[''Fiction'', ''Magical Realism'', ''Fantasy'', ''Mystery'', ''Adult'', ''Contemporary'', ''Literary Fiction'', ''Adult Fiction'', ''Crime'', ''Audiobook'']'
9781444709032;Outpost;Engelska;109;April 14th 2011;4;1;388;'[''Romance'', ''New Adult'', ''Contemporary'', ''Young Adult'', ''High School'', ''Contemporary Romance'', ''Fiction'', ''Chick Lit'', ''Audiobook'', ''Drama'']'
9780983756989;See Me;Engelska;451;Expected publication: October 25th 20121;5;4;216;'[''Contemporary'', ''Fiction'', ''Adult'', ''Thriller'', ''Drama'', ''Family'', ''Book Club'']'
9780994664150;Moonbreeze;Engelska;522;October 20th 2015;6;4;734;'[''Biography'', ''History'', ''Nonfiction'', ''Biography Memoir'', ''World War I'', ''Military Fiction'', ''Military History'', ''War'', ''British Literature'', ''Autobiography'']'
9781594201226;The Assault on Reason;Engelska;77;January 1st 2008;7;2;273;'[''Mystery'', ''Crime'', ''Fiction'', ''Thriller'', ''Mystery Thriller'', ''British Literature'', ''Suspense'', ''Detective'', ''Audiobook'', ''Contemporary'']'
9781594865671;An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It;Engelska;139;May 24th 2006;7;1;328;'[''Historical Fiction'', ''Westerns'', ''Fiction'', ''19th Century'', ''Crime'']'
9780812974409;'Never Have Your Dog Stuffed: And Other Things I''ve Learned';Engelska;96;September 12th 2006;8;1;235;'[''Fiction'', ''Adult'', ''Contemporary'', ''Adult Fiction'', ''Spain'', ''Historical Fiction'', ''Audiobook'', ''Romance'', ''Literary Fiction'', ''Book Club'']'
9783000474354;Vom Tod geküsst;Tyska;899;November 6th 2014;9;4;346;'[''British Literature'']'
